group	phrase
action	action
action	thriler
action	thriller
all genres	all genres
animation	3D
animation	animated
animation	animation
animation	animations
animation	cartoon
animation	claymation
artistic	artsy
artistic	artistic
artistic	obscure
biographical	biopic
biographical	bio
biographical	biographical
british	british
comedy	humor
comedy	comedies
comedy	comedy
comedy	funnier
comedy	funny
comedy	hilariouse
comedy	humor
comedy	laugh
comedy	parody
crime	crime
crime	drugs
crime	lawyer
crime	police
cute	cute
dark_comedy	dark comedy
drama	drama
drama	coming of age
drama	dramas
drama	dramatic
drama	story
fantasy	fantasy
horror	blood
horror	creepy
horror	gore
horror	horror
horror	nightmares
horror	scared
horror	scariest
horror	scarry
horror	scary
horror	spooky
horror	terrified
horror	terror
musical	musicals
mystery	mysterious
mystery	mystery
romance	romantic
romance	romance
Sci-fi	sci fi
Sci-fi	science
Sci-fi	Sci-fi
superhero	marvel
superhero	super hero
superhero	superhero
suspense	suspense
suspense	suspenseful
true_story	true
true_story	historical
true_story	history
true_story	true story
true_story	documentary
