index,movieName,databaseId,movielensId,imdbId
0,Headhunter (2009),75796,144420,1322315
1,Angels in the Outfield (1994),75815,1021,0109127
2,Eddie and the Cruisers (1983),75822,4589,0085475
3,Ninja Assassin (2009),75828,72489,1186367
4,Orgazmo (1997),75867,2325,0124819
5,Toy Story 2 (1999),75881,3114,0120363
6,A Star Is Born (1954),75903,25996,0047522
7,Pretty in Pink (1986),75918,2145,0091790
8,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn,75962,-1,-1
9,An American Werewolf in Paris (1997),75968,-1,-1
10,The Golden Temple (2012),75981,-1,-1
11,Fool's Gold (2008),75984,57951,0770752
12,The Exorcist (1973),76012,1997,0070047
13,The War Bride (2001),76019,174967,0244297
14,Flick (2008),76023,-1,-1
15,National Security (2012),76036,-1,-1
16,The Vow (2012),76042,92509,1606389
17,Winter's Bone (2010),76067,78574,1399683
18,Love Station (2016),76069,-1,-1
19,Fight Club – Members Only (2006),76071,-1,-1
20,IMurders (2008),76102,-1,-1
21,Pocahontas II: Journey to a New World (1998),76111,95193,0143808
22,Just One of the Guys (1985),76113,7340,0089393
23,Prince (1969),76130,-1,-1
24,Love Liza (2002),76137,6002,0282698
25,Anomalisa (2015),76143,139855,2401878
26,The Great Gatsby (1926),76145,121618,0016938
27,Million Dollar Baby (2004),76160,30707,0405159
28,Insidious: Chapter 3 (2015),76170,122884,3195644
29,The Mummy,76171,2617,0120616
30,Ride Along 2 (2016),76177,151315,2869728
31,The Hills Have Eyes (2006),76187,44397,0454841
32,Dirty Work (1998),76195,2195,0120654
33,North Dallas Forty (1979),76198,3506,0079640
34,Death at a Funeral (2007),76279,53956,0795368
35,The Cowboys (1972),76284,8334,0068421
36,My Scientology Movie (2015),76325,-1,-1
37,Blackhat (2015),76336,120637,2717822
38,Hereafter (2010),76339,81512,1212419
39,The Parent Trap (1998),76356,2059,0120783
40,Anna and the King (1999),76365,3155,0166485
41,Beware! The Blob (1972),76391,170753,0068271
42,The Exorcist,76481,1997,0070047
43,Brave (2012),76483,95167,1217209
44,The Royal Scandal,76488,74448,0281173
45,Chloe (2009),76508,76079,1352824
46,Mississippi Damned (2009),76512,148923,1169834
47,Cloverfield (2008),76519,57368,1060277
48,Okja,76524,171765,3967856
49,Killers (2010),76530,78041,1103153
50,The Shaggy Dog (1959),76620,1016,0053271
51,No Good Deed (2014),76627,114182,2011159
52,Double Impact (1991),76636,4200,0101764
53,First Kill (2017),76639,175783,5884234
54,Torque (2004),76658,7175,0329691
55,Batman: Revenge (2003),76660,-1,-1
56,The Incredible Hulk (2008),76706,60040,0800080
57,Red Lines (2014),76724,-1,-1
58,All the Pretty Horses (2000),76746,4031,0149624
59,Pinocchio (1940),76757,596,0032910
60,Ouija (2015),76772,-1,-1
61,White Men Can't Jump (1992),76781,3263,0105812
62,Contagion (2011),76802,89470,1598778
63,Death of a Ghost Hunter (2007),76825,138526,1160317
64,The Sweetest Thing (2002),76829,5296,0253867
65,Good Burger,76845,6464,0119215
66,Police Story 2 (2007),76847,-1,-1
67,Veronica Mars (2014),76849,109864,2771372
68,Project Almanac (2015),76861,127096,2436386
69,One Piece Film: Strong World (2009),76887,106471,1485763
70,First Sunday (2008),76935,57522,0486578
71,Harry Potter and the Goblet of Fire (2005),76940,40815,0330373
72,Uptown Saturday Night (1974),77043,7275,0072351
73,Christmas in Love (2004),77045,-1,-1
74,Identity (2003),77066,6323,0309698
75,Jack Reacher (2012),77115,99112,0790724
76,Insidious,77128,85788,1591095
77,Not Fade Away (2012),77136,99217,1230215
78,The Living Daylights (1987),77140,4005,0093428
79,The Lovely Bones (2009),77141,72731,0380510
80,Flypaper (2011),77154,91474,1541160
81,A Nightmare on Elm Street (1984),77161,1347,0087800
82,Straight to Hell (1987),77176,7878,0094048
83,Lethal Weapon 4 (1998),77190,1918,0122151
84,Bee Movie (2007),77195,55768,0389790
85,Beethoven's 2nd (1993),77216,6794,0106375
86,They Look Like People (2015),77253,145070,4105970
87,Fighter in the Wind (2004),77267,34231,0416499
88,A Wrinkle in Time,77293,184987,1620680
89,Oklahoma (1979),77306,-1,-1
90,Cleopatra (1970),77330,-1,-1
91,Harold and Maude (1971),77352,1235,0067185
92,Black Beauty (1994),77358,421,0109279
93,Encino Man (1992),77363,3243,0104187
94,Full Metal Jacket (1987),77376,1222,0093058
95,American Pie Presents: Band Camp,77384,-1,-1
96,Shade (2003),77388,7383,0323939
97,How the West Was Won (1962),77415,8661,0056085
98,Citizen Kane (1941),77455,923,0033467
99,Yes (2004),77478,33832,0381717
100,Contract (2008),77485,-1,-1
101,Triangle (2009),77521,74228,1187064
102,Contact (1997),77542,1584,0118884
103,"We, the Women (1953)",77552,-1,-1
104,The Librarians (2001),77576,-1,-1
105,Along Came Polly,77597,7173,0343135
106,17 Again (2009),77609,68135,0974661
107,Sky High (2003),77610,144522,0398563
108,Abraham Lincoln: Vampire Hunter (2012),77627,95207,1611224
109,Leprechaun (1993),77628,7117,0107387
110,Fred (2014),77636,-1,-1
111,Peter Pan (2003),77651,7164,0316396
112,The World's End (2013),77666,103341,1213663
113,Star Trek Into Darkness (2013),77670,102445,1408101
114,Indiana Jones and the Last Crusade (1989),77684,1291,0097576
115,Wolf Creek (2005),77693,40723,0416315
116,The Heist (2008),77696,-1,-1
117,White House Down (2013),77697,103339,2334879
