conversation_index,message_index,text,messageId,Movie Name 1,IMDB ID 1,Movie Name 2,IMDB ID 2,Movie Name 3,IMDB ID 3
8,18,I didn't like @Far and Away.,1191,Far and Away,https://www.imdb.com/title/tt0104231/,,,,
11,2,"Yes, having a hard time. @Planes,Trains and Automobiles",1246,"Planes,Trains and Automobiles",https://www.imdb.com/title/tt0093748/,,,,
13,6,"Cool, you might like @bluestreak with Martin Lawrence",1284,bluestreak,https://www.imdb.com/title/tt0181316/,,,,
43,2,Hmm. A &quot;scary&quot; movie I liked was @A Cabin In The Woods!,1770,A Cabin In The Woods,https://www.imdb.com/title/tt1259521/,,,,
44,7,I have not seen that either. The last movie I saw was @jigsaw  lol,1800,jigsaw,https://www.imdb.com/title/tt3348730/,,,,
45,5,im not. cant much get into them. im more into psych-thrillers and horror. did you see @jigsaw?,1816,jigsaw,https://www.imdb.com/title/tt3348730/,,,,
45,7,oh god no! worst horror of 2017 by far! @wish upon from this summer was better,1818,wish upon,https://www.imdb.com/title/tt5322012/,,,,
46,10,Have you seen @Red Dragon? With Eddie Norton and Anthony Hopkins?,1850,Red Dragon,https://www.imdb.com/title/tt0289765/,,,,
46,13,"i dont think he was in that one tho. he was in @Hannibal for sure, but not rising.",1853,Hannibal,https://www.imdb.com/title/tt0212985/,,,,
49,10,LOVED that movie. I'm so looking forward to @Avengers Infiniti War,1902,Avengers Infiniti War,https://www.imdb.com/title/tt4154756/,,,,
68,8,I'll check it out. Is @187554 anything like @Duel  or @199993,2189,Duel,https://www.imdb.com/title/tt0067023/,,,,
69,5,Oh okay. I like Ed Harris. He was great in @The Rock .,2201,The Rock,https://www.imdb.com/title/tt0117500/,,,,
70,15,Have you seen @Seven or @111488 ?,2226,Seven,https://www.imdb.com/title/tt0114369/,,,,
75,1,I am interested in movies like @star wars,2304,star wars,https://www.imdb.com/title/tt2488496/,,,,
86,15,"Yeah I like @anchorman too. I didn't like it the first time, but it grew on me",2517,anchorman,https://www.imdb.com/title/tt0357413/,,,,
95,9,You could also try @Gone Girl,2713,Gone Girl,https://www.imdb.com/title/tt2267998/,,,,
102,9,Did you see @arrival?,2872,arrival,https://www.imdb.com/title/tt2543164/,,,,
117,10,I have never heard of @Chloe. I will have to look it up.,3190,Chloe,https://www.imdb.com/title/tt1352824/,,,,
121,12,I haven't yet but I really want to.  Did you see the last @Tron?,3260,Tron,https://www.imdb.com/title/tt1104001/,,,,
123,10,did you see @the boondick saints? It is my favorite,3312,the boondick saints,https://www.imdb.com/title/tt0144117/,,,,
124,4,Better than @Jigsaw,3352,Jigsaw,https://www.imdb.com/title/tt3348730/,,,,
128,10,I liked the first @Underworld  movie,3425,Underworld,https://www.imdb.com/title/tt0320691/,,,,
129,7,"Also, have you seen @The Witch (2015)",3439,The Witch (2015),https://www.imdb.com/title/tt4263482/,,,,
136,2,I've seen T5 already. I didn't like it all that much. It was too scattered and clumbsy. But I've heard @Valerian is really good,3536,Valerian,https://www.imdb.com/title/tt2239822/,,,,
153,7,I love Daisy. She's so cute. I hope she does well in @Star Wars The Last Jedi,3825,Star Wars The Last Jedi,https://www.imdb.com/title/tt2527336/,,,,
154,2,OMG Yes! @138962 and @Boo! A Madea Halloween,3834,Boo! A Madea Halloween,https://www.imdb.com/title/tt5325452/,,,,
154,7,Have you seen @The House with will Ferrel?,3839,The House,https://www.imdb.com/title/tt4481514/,,,,
168,9,I thought @rushmore was pretty good.,4085,rushmore,https://www.imdb.com/title/tt0128445/,,,,
172,15,Kind of a cult film like @fargo,4193,fargo,https://www.imdb.com/title/tt0116282/,,,,
176,11,Did you see @avatar or @181929,4336,avatar,https://www.imdb.com/title/tt0499549/,,,,
192,7,"Awesome! ok, how about @the big lebowski or something like @154247 or even @91332",4678,the big lebowski,https://www.imdb.com/title/tt0118715/,,,,
223,11,Theres also @Bad moms 2 which was good,5563,Bad moms 2,https://www.imdb.com/title/tt6359956/,,,,
228,5,@78418 is a great movie is you like the sci-fi action movies. @Pixels is another great movies with Adam Sandler which is more a ski-fi movie but family style,5693,Pixels,https://www.imdb.com/title/tt2120120/,,,,
234,8,There's also a new Idris Elba movie out called @The Mountain Between Us. Kate Winslet is in it. I hear it's pretty good.,5810,The Mountain Between Us,https://www.imdb.com/title/tt2226597/,,,,
235,9,"Also, they did an adaptation of @Angels And Demons.",5825,Angels And Demons,https://www.imdb.com/title/tt0808151/,,,,
243,13,I really like @Double Indemnity with Barbara Stanwyck and Fred MacMurray.,6002,Double Indemnity,https://www.imdb.com/title/tt0036775/,,,,
249,6,I AM WAITING ON @DEADPOOL 2,6135,DEADPOOL 2,https://www.imdb.com/title/tt5463162/,,,,
249,10,AFTER WARDS I LIKE TO WATCH @GUARDIANS OF THE GALAXY 2,6139,GUARDIANS OF THE GALAXY 2,https://www.imdb.com/title/tt3896198/,,,,
252,4,Have you seen @Star Wars The Last Jedi yet?,6209,Star Wars The Last Jedi,https://www.imdb.com/title/tt2527336/,,,,
253,12,Is inception anything like @memento cause I didn't like that,6231,memento,https://www.imdb.com/title/tt0209144/,inception,https://www.imdb.com/title/tt1375666/,,
262,11,I haven't seen @ted yet! lol,6475,ted,https://www.imdb.com/title/tt1637725/,,,,
269,4,Yes! Have you seen @blade rumm,6615,blade rumm,https://www.imdb.com/title/tt0083658/,,,,
275,8,There is also @Misery with Kathy Bates from the 90's,6735,Misery,https://www.imdb.com/title/tt0100157/,,,,
290,2,okay how about @get out,7011,get out,https://www.imdb.com/title/tt5052448/,,,,
299,4,"I need a chrismas movie, something like &quot;@die hard&quot;",7187,die hard,https://www.imdb.com/title/tt0095016/,,,,
303,9,I have seen @deadpool It was a fun movie!,7277,deadpool,https://www.imdb.com/title/tt1431045/,,,,
303,12,"I aLso saw @suicide squad, Though I have very mixed feelings.",7285,suicide squad,https://www.imdb.com/title/tt1386697/,,,,
303,26,"have you heard  of the new film, @I tonya?",7312,I tonya,https://www.imdb.com/title/tt5580036/,,,,
309,7,Both are good movies in fact I own  @TheJungleBook and I have seen @136983 many times,7453,TheJungleBook,https://www.imdb.com/title/tt3040964/,,,,
323,7,"Oh ok. I really like @Little Miss Sunshine, too. How about @88487",7771,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,,,,
358,16,or the new movie @the disaster artist,8609,the disaster artist,https://www.imdb.com/title/tt3521126/,,,,
390,5,"Well if you are a fan of older, perhaps @Seven would be one you enjoy. It stars Brad Pitt and Morgan Freeman.",9376,Seven,https://www.imdb.com/title/tt0114369/,,,,
392,9,Hmm. A comedy? How about @Father Figures,9410,Father Figures,https://www.imdb.com/title/tt1966359/,,,,
424,5,I love the murder mystery genre. Have you seen @Zodiac?,10044,Zodiac,https://www.imdb.com/title/tt0443706/,,,,
467,4,"I love the suspense and twists that you get in thrillers, like @double jep",10872,double jep,https://www.imdb.com/title/tt0150377/,,,,
471,5,Oh @Elf is definitely another good one. I love it! Do you recommend any other similar to it and @Christmas Vacation?,10958,Elf,https://www.imdb.com/title/tt0319343/,Christmas Vacation,https://www.imdb.com/title/tt0097958/,,
471,9,Oh gosh I totally forgot about @Scrooged. I haven't watched that one in ages. I will definitely be watching that one tonight. Thank you so much.,10962,Scrooged,https://www.imdb.com/title/tt0096061/,,,,
476,4,have you seen @notebook?,11106,notebook,https://www.imdb.com/title/tt0332280/,,,,
479,12,"If you like Will Ferrell, try @Stepbrothers",11161,Stepbrothers,https://www.imdb.com/title/tt0838283/,,,,
503,10,I havent seen @the signal yet. what is it about.,11658,the signal,https://www.imdb.com/title/tt2910814/,,,,
504,11,Or If you like @Adam Sandler and Drew Barrymore then they also have @91313 which is pretty funny.,11690,,Adam Sandler should not have been annotated with @,,,,
510,5,"Yes I have seen @Prisoners, with Hugh Jackman and Jake Gylenhall. Loved it!",11827,Prisoners,https://www.imdb.com/title/tt1392214/,,,,
510,13,"@Taken was good too, though not the sequels. I have not seen @The Call though. Have you ever seen @the Sixth Sense, with Bruce Willis? Classic.",11842,Taken,https://www.imdb.com/title/tt0936501/,The Call,https://www.imdb.com/title/tt1911644/,the Sixth Sense,https://www.imdb.com/title/tt0167404/
515,4,"Have you I have not seen @Cold Mountain (2003), but really enjoyed @Cast Away (2000). Have you seen @The Terminal (2004), also with Tom Hanks?",11905,Cold Mountain (2003),https://www.imdb.com/title/tt0159365/,Cast Away (2000),https://www.imdb.com/title/tt0162222/,The Terminal (2004),https://www.imdb.com/title/tt0362227/
515,8,"I have not seen @Road to Perdition (2002), but I hear Tom Hanks plays a &quot;baddie&quot; in this one, which is quite rare, and worth seeing for that reason alone!",11929,Road to Perdition (2002),https://www.imdb.com/title/tt0257044/,,,,
523,7,It's like @Seven but not as gory.,12036,Seven,https://www.imdb.com/title/tt0114369/,,,,
536,9,"I have heard of @Elf, @163713 , and @180808 . Can you tell me a little about @Santa  Baby?",12319,Elf,https://www.imdb.com/title/tt0319343/,Santa  Baby,https://www.imdb.com/title/tt0772185/,,
549,5,something like @112719 or maybe even like @Prisoners,12570,Prisoners,https://www.imdb.com/title/tt1392214/,,,,
558,4,How about @Happy Gilmore?,12785,Happy Gilmore,https://www.imdb.com/title/tt0116483/,,,,
561,7,"those are all really good, how about @super dark times",12825,super dark times,https://www.imdb.com/title/tt5112578/,,,,
599,14,I enjoyed @Sliver more because I liked the storyline much better.,13612,Sliver,https://www.imdb.com/title/tt0108162/,,,,
600,3,@tangled and @frozen are her favs,13622,tangled,https://www.imdb.com/title/tt0398286/,frozen,https://www.imdb.com/title/tt2294629/,,
600,4,Has she seen @Brave yet?,13623,Brave,https://www.imdb.com/title/tt1217209/,,,,
611,15,I saw the trailer for the @Mama Mia 2 that's coming out this summer. Looks great!,13974,Mama Mia 2,https://www.imdb.com/title/tt6911608/,,,,
631,11,Another good one is @inside out,14428,inside out,https://www.imdb.com/title/tt2096673/,,,,
638,13,But I would recommend @seven if you haven’t seen it.,14619,seven,https://www.imdb.com/title/tt0114369/,,,,
689,5,Did you see @Ted?,15790,Ted,https://www.imdb.com/title/tt1637725/,,,,
693,3,have you seen @deadpool that is fun,15857,deadpool,https://www.imdb.com/title/tt1431045/,,,,
715,2,looking for something like @casino,16306,casino,https://www.imdb.com/title/tt0112641/,,,,
769,3,Have you seen@The Greatest Showman?,17633,The Greatest Showman,https://www.imdb.com/title/tt1485796/,,,,
