id,name
1,Robert De Niro
2,Jack Nicholson
3,Marlon Brando
4,Denzel Washington
5,Katharine Hepburn
6,Humphrey Bogart
7,Meryl Streep
8,Daniel Day-Lewis
9,Sidney Poitier
10,Clark Gable
11,Ingrid Bergman
12,Tom Hanks
13,Elizabeth Taylor
14,Bette Davis
15,Gregory Peck
16,Leonardo DiCaprio
17,Cate Blanchett
18,Audrey Hepburn
19,Spencer Tracy
20,Kate Winslet
21,Shah Rukh Khan
22,Viola Davis
23,Sophia Loren
24,Cary Grant
25,Vivien Leigh
26,Marilyn Monroe
27,Laurence Olivier
28,James Stewart
29,Steve McQueen
30,Halle Berry
31,Julia Roberts
32,Bruce Lee
33,Jodie Foster
34,Judy Garland
35,Henry Fonda
36,Morgan Freeman
37,Catherine Deneuve
38,Grace Kelly
39,Helen Mirren
40,James Cagney
41,Angela Bassett
42,Johnny Depp
43,Greta Garbo
44,Olivia de Havilland
45,Charles Chaplin
46,Setsuko Hara
47,Julie Andrews
48,Montgomery Clift
49,Isabelle Huppert
50,Al Pacino
51,Kirk Douglas
52,Marcello Mastroianni
53,Gene Kelly
54,James Dean
55,Will Smith
56,Toshirô Mifune
57,John Wayne
58,Mohanlal
59,Harrison Ford
60,Gary Cooper
61,Gérard Depardieu
62,Forest Whitaker
63,Dustin Hoffman
64,Charlton Heston
65,Tom Cruise
66,Paul Newman
67,Samuel L. Jackson
68,Peter O'Toole
69,Robin Williams
70,Don Cheadle
71,Antonio Banderas
72,Eddie Murphy
73,Anthony Hopkins
74,Omar Sharif
75,Heath Ledger
76,Diane Keaton
77,Rita Hayworth
78,Natalie Wood
79,Joan Crawford
80,Susan Sarandon
81,Glenn Close
82,Joan Fontaine
83,Julianne Moore
84,Regina King
85,Angelina Jolie
86,Jane Fonda
87,Liv Ullmann
88,Natalie Portman
89,Sandra Bullock
90,Deborah Kerr
91,Emma Thompson
92,Michelle Pfeiffer
93,Faye Dunaway
94,Penélope Cruz
95,Nicole Kidman
96,Salma Hayek
97,Sigourney Weaver
98,Kathy Bates
99,Lucy Liu
100,Amy Adams
101,Jeff Bridges
102,Ben Kingsley
103,Tommy Lee Jones
104,Robert Redford
105,Jack Lemmon
106,Christopher Plummer
107,George C. Scott
108,Joaquin Phoenix
109,Christopher Walken
110,Philip Seymour Hoffman
111,George Clooney
112,Gene Hackman
113,Bruce Willis
114,Sean Connery
115,Ian McKellen
116,Russell Crowe
117,Bill Murray
118,Nicolas Cage
119,Joe Pesci
120,Brad Pitt
121,Kevin Costner
122,Donald Sutherland
123,Clint Eastwood
124,Michael Douglas
125,Robert Downey Jr.
126,Ava Gardner
127,Sally Field
128,Doris Day
129,Shirley MacLaine
130,Holly Hunter
131,Hilary Swank
132,Claudette Colbert
133,Diane Lane
134,Jessica Lange
135,Gloria Swanson
136,Lauren Bacall
137,Frances McDormand
138,Norma Shearer
139,Bette Midler
140,Mary Tyler Moore
141,Anna Magnani
142,Judi Dench
143,Sharon Stone
144,Kim Basinger
145,Glenda Jackson
146,Donna Reed
147,Demi Moore
148,Anne Hathaway
149,Liza Minnelli
150,Geena Davis
151,Peter Sellers
152,Woody Allen
153,Mel Gibson
154,Jim Carrey
155,Mark Wahlberg
156,Steve Martin
157,Javier Bardem
158,Christoph Waltz
159,Tim Robbins
160,Arnold Schwarzenegger
161,Sylvester Stallone
162,Viggo Mortensen
163,Christopher Lee
164,Geoffrey Rush
165,Alec Guinness
166,Richard Burton
167,Alec Baldwin
168,James Caan
169,Chiwetel Ejiofor
170,Mads Mikkelsen
171,Ben Stiller
172,Willem Dafoe
173,Ed Harris
174,Harvey Keitel
175,Jon Voight
176,Drew Barrymore
177,Winona Ryder
178,Kathleen Turner
179,Uma Thurman
180,Rene Russo
181,Whoopi Goldberg
182,Annette Bening
183,Maggie Smith
184,Barbra Streisand
185,Jennifer Lawrence
186,Joanne Woodward
187,Mercedes McCambridge
188,Anjelica Huston
189,Dianne Wiest
190,Goldie Hawn
191,Claudia Cardinale
192,Gwyneth Paltrow
193,Charlize Theron
194,Debra Winger
195,Marion Cotillard
196,Christina Ricci
197,Juliette Binoche
198,Daryl Hannah
199,Shirley Booth
200,Reese Witherspoon
201,Benicio Del Toro
202,Kevin Bacon
203,Patrick Swayze
204,Michael Caine
205,Robert Duvall
206,Burt Lancaster
207,Robert Mitchum
208,Colin Farrell
209,William Holden
210,Edward G. Robinson
211,William Powell
212,Jared Leto
213,Errol Flynn
214,Groucho Marx
215,James Mason
216,Buster Keaton
217,Orson Welles
218,Fred Astaire
219,Bradley Cooper
220,Gary Oldman
221,Jude Law
222,Paul Giamatti
223,Liam Neeson
224,Matt Damon
225,Michael Fassbender
226,Carol Burnett
227,Jessica Tandy
228,Helen Hunt
229,Patricia Arquette
230,Carmen Miranda
231,Kate Hudson
232,Catherine Zeta-Jones
233,Cameron Diaz
234,Debbie Reynolds
235,Ellen Burstyn
236,Maureen O'Hara
237,Myrna Loy
238,Lena Headey
239,Toni Collette
240,Laura Linney
241,Marlene Dietrich
242,Carole Lombard
243,Jean Arthur
244,Jean Harlow
245,Ginger Rogers
246,Mary Pickford
247,Mae West
248,Gillian Anderson
249,Emma Watson
