id,name
1,Ertem Egilmez
2,Akira Kurosawa
3,Alfred Hitchcock
4,Ingmar Bergman
5,Steven Spielberg
6,Billy Wilder
7,Christopher Nolan
8,Stanley Kubrick
9,Martin Scorsese
10,William Wyler
11,Yasujirô Ozu
12,Charles Chaplin
13,Quentin Tarantino
14,Hayao Miyazaki
15,Francis Ford Coppola
16,Mani Ratnam
17,Peter Jackson
18,Sergio Leone
19,Luis Buñuel
20,David Fincher
21,Howard Hawks
22,Fritz Lang
23,Sidney Lumet
24,Frank Capra
25,Masaki Kobayashi
26,George Cukor
27,John Ford
28,David Lean
29,Jean-Luc Godard
30,Andrei Tarkovsky
31,Elia Kazan
32,Woody Allen
33,Buster Keaton
34,Federico Fellini
35,Satyajit Ray
36,Leonid Gaidai
37,Michael Curtiz
38,Clint Eastwood
39,Hrishikesh Mukherjee
40,John Huston
41,Mervyn LeRoy
42,Eldar Ryazanov
43,Mario Monicelli
44,King Vidor
45,Ethan Coen
46,Slobodan Sijan
47,Ernst Lubitsch
48,Ridley Scott
49,Sam Wood
50,Luchino Visconti
51,Yimou Zhang
52,Kenji Mizoguchi
53,Frank Darabont
54,Richard Linklater
55,Robert Zemeckis
56,Emir Kusturica
57,Orson Welles
58,Raoul Walsh
59,Roman Polanski
60,Anurag Kashyap
61,Jean-Pierre Melville
62,James Cameron
63,François Truffaut
64,Milos Forman
65,Michael Powell
66,Georgiy Daneliya
67,Vishal Bhardwaj
68,Vittorio De Sica
69,Atif Yilmaz
70,Joseph L. Mankiewicz
71,Zeki Ökten
72,William A. Wellman
73,F.W. Murnau
74,Asghar Farhadi
75,George Stevens
76,Giuseppe Tornatore
77,Jean Renoir
78,Leo McCarey
79,Yavuz Turgul
80,Fred Zinnemann
81,Preston Sturges
82,Moustapha Akkad
83,Rajkumar Hirani
84,Edmund Goulding
85,Nuri Bilge Ceylan
86,Robert Wise
87,Jean-Luc Godard
88,Krzysztof Kieslowski
89,Rob Reiner
90,Jonathan Demme
91,Emeric Pressburger
92,Robert Bresson
93,Srdjan Dragojevic
94,Terry Gilliam
95,Majid Majidi
96,Lee Unkrich
97,Rajkumar Santoshi
98,Rainer Werner Fassbinder
99,Louis Malle
100,Nikita Mikhalkov
101,Ertem Egilmez
102,Akira Kurosawa
103,Alfred Hitchcock
104,Ingmar Bergman
105,Steven Spielberg
106,Billy Wilder
107,Christopher Nolan
108,Stanley Kubrick
109,Martin Scorsese
110,William Wyler
111,Yasujirô Ozu
112,Charles Chaplin
113,Quentin Tarantino
114,Hayao Miyazaki
115,Francis Ford Coppola
116,Mani Ratnam
117,Peter Jackson
118,Sergio Leone
119,Luis Buñuel
120,David Fincher
121,Howard Hawks
122,Fritz Lang
123,Sidney Lumet
124,Frank Capra
125,Masaki Kobayashi
126,George Cukor
127,John Ford
128,David Lean
129,Jean-Luc Godard
130,Andrei Tarkovsky
131,Elia Kazan
132,Woody Allen
133,Buster Keaton
134,Federico Fellini
135,Satyajit Ray
136,Leonid Gaidai
137,Michael Curtiz
138,Clint Eastwood
139,Hrishikesh Mukherjee
140,John Huston
141,Mervyn LeRoy
142,Eldar Ryazanov
143,Mario Monicelli
144,King Vidor
145,Ethan Coen
146,Slobodan Sijan
147,Ernst Lubitsch
148,Ridley Scott
149,Sam Wood
150,Luchino Visconti
151,Yimou Zhang
152,Kenji Mizoguchi
153,Frank Darabont
154,Richard Linklater
155,Robert Zemeckis
156,Emir Kusturica
157,Orson Welles
158,Raoul Walsh
159,Roman Polanski
160,Anurag Kashyap
161,Jean-Pierre Melville
162,James Cameron
163,François Truffaut
164,Milos Forman
165,Michael Powell
166,Georgiy Daneliya
167,Vishal Bhardwaj
168,Vittorio De Sica
169,Atif Yilmaz
170,Joseph L. Mankiewicz
171,Zeki Ökten
172,William A. Wellman
173,F.W. Murnau
174,Asghar Farhadi
175,George Stevens
176,Giuseppe Tornatore
177,Jean Renoir
178,Leo McCarey
179,Yavuz Turgul
180,Fred Zinnemann
181,Preston Sturges
182,Moustapha Akkad
183,Rajkumar Hirani
184,Edmund Goulding
185,Nuri Bilge Ceylan
186,Robert Wise
187,Jean-Luc Godard
188,Krzysztof Kieslowski
189,Rob Reiner
190,Jonathan Demme
191,Emeric Pressburger
192,Robert Bresson
193,Srdjan Dragojevic
194,Terry Gilliam
195,Majid Majidi
196,Lee Unkrich
197,Rajkumar Santoshi
198,Rainer Werner Fassbinder
199,Louis Malle
200,Nikita Mikhalkov
201,Ertem Egilmez
202,Akira Kurosawa
203,Alfred Hitchcock
204,Ingmar Bergman
205,Steven Spielberg
206,Billy Wilder
207,Christopher Nolan
208,Stanley Kubrick
209,Martin Scorsese
210,William Wyler
211,Yasujirô Ozu
212,Charles Chaplin
213,Quentin Tarantino
214,Hayao Miyazaki
215,Francis Ford Coppola
216,Mani Ratnam
217,Peter Jackson
218,Sergio Leone
219,Luis Buñuel
220,David Fincher
221,Howard Hawks
222,Fritz Lang
223,Sidney Lumet
224,Frank Capra
225,Masaki Kobayashi
226,George Cukor
227,John Ford
228,David Lean
229,Jean-Luc Godard
230,Andrei Tarkovsky
231,Elia Kazan
232,Woody Allen
233,Buster Keaton
234,Federico Fellini
235,Satyajit Ray
236,Leonid Gaidai
237,Michael Curtiz
238,Clint Eastwood
239,Hrishikesh Mukherjee
240,John Huston
241,Mervyn LeRoy
242,Eldar Ryazanov
243,Mario Monicelli
244,King Vidor
245,Ethan Coen
246,Slobodan Sijan
247,Ernst Lubitsch
248,Ridley Scott
249,Sam Wood
250,Luchino Visconti
251,Yimou Zhang
252,Kenji Mizoguchi
253,Frank Darabont
254,Richard Linklater
255,Robert Zemeckis
256,Emir Kusturica
257,Orson Welles
258,Raoul Walsh
259,Roman Polanski
